onset,terminus,tail,head ,onset.censored,terminus.censored,duration,edge.id
475,650,7,2,FALSE,FALSE,175,1
485,486,12,10,FALSE,FALSE,1,2
500,600,7,5,FALSE,FALSE,100,3
600,700,7,10,FALSE,FALSE,100,4
600,700,8,5,FALSE,FALSE,100,5
650,651,9,5,FALSE,FALSE,1,6
650,820,8,13,FALSE,FALSE,178,7
642,820,3,8,FALSE,FALSE,178,8
642,643,13,11,FALSE,FALSE,1,9
692,693,7,13,FALSE,FALSE,1,10
692,792,4,8,FALSE,FALSE,100,11
755,820,2,8,FALSE,FALSE,65,12
799,800,14,2,FALSE,FALSE,178,13
799,800,12,2,FALSE,FALSE,1,14
